laa_ID,laa_TimeStamp,laa_Area,fk_u_ID,laa_Controller,laa_ActivityType,fk_g_ID
8523255,2022-10-20 00:17,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8523256,2022-10-20 00:17,Support,1211,/Support/Tickets,MenuAccessed,NULL
8523257,2022-10-20 02:28,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8523258,2022-10-20 04:34,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8523259,2022-10-20 04:34,WorkLog,1080,/WorkLog,MenuAccessed,NULL
8523260,2022-10-20 04:35,WorkLog,1080,/WorkLog/CreateLogEntries,CustomControls,NULL
8523261,2022-10-20 04:35,WorkLog,1080,/WorkLog/GetLogEntries,SelectClicked,NULL
8523262,2022-10-20 04:35,WorkLog,1080,/WorkLog/GetLogEntries,SelectClicked,NULL
8523263,2022-10-20 04:35,WorkLog,1080,/WorkLog/GetLogEntries,SelectClicked,NULL
8523264,2022-10-20 04:35,WorkLog,1080,/WorkLog/WorkLogDailyViewer/ReadEntries,SelectClicked,NULL
8523265,2022-10-20 04:35,WorkLog,1080,/WorkLog/GetTaskCategoryDetails,SelectClicked,NULL
8523266,2022-10-20 04:35,WorkLog,1080,/WorkLog/GetTaskCategoryDetails,SelectClicked,NULL
8523267,2022-10-20 04:38,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8523268,2022-10-20 04:38,Support,1211,/Support/Tickets,MenuAccessed,NULL
8523269,2022-10-20 04:44,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8523270,2022-10-20 04:45,ASTIR,677,/ASTIR/,MenuAccessed,NULL
8523271,2022-10-20 04:45,ASTIR,677,/ASTIR/ManageReports/,MenuAccessed,NULL
8523272,2022-10-20 04:45,ASTIR,677,/ASTIR/ManageReports/ReadEntries,SelectClicked,13
8523273,2022-10-20 04:45,ASTIR,677,/ASTIR/ManageReports/GetSystems/,SelectClicked,39
8523274,2022-10-20 04:45,ASTIR,677,/ASTIR/ManageReports/ReturnTriggerSettingsForReports/,CustomControls,39
8523275,2022-10-20 04:45,ASTIR,677,/ASTIR/ManageReports/ReadEntries,ButtonClicked,39
8523276,2022-10-20 04:45,ASTIR,677,/ASTIR/ManageReports/TriggerReports/,ButtonClicked,39
8523277,2022-10-20 04:45,ASTIR,677,/ASTIR/ManageReports/ReadEntries,ButtonClicked,39
8523278,2022-10-20 04:51,ASTIR,677,/ASTIR/ManageReports/,MenuAccessed,39
8523279,2022-10-20 04:51,ASTIR,677,/ASTIR/ManageReports/ReadEntries,SelectClicked,39
8523280,2022-10-20 04:51,ASTIR,677,/ASTIR/ManageReports/GetSystems/,SelectClicked,39
8523281,2022-10-20 04:51,ASTIR,677,/ASTIR/ManageReports/ReturnTriggerSettingsForReports/,CustomControls,39
8523282,2022-10-20 04:51,ASTIR,677,/ASTIR/ManageReports/TriggerReports/,ButtonClicked,39
8523283,2022-10-20 04:51,ASTIR,677,/ASTIR/ManageReports/ReadEntries,ButtonClicked,39
8523284,2022-10-20 04:51,ASTIR,677,/ASTIR/ManageReports/ReadEntries,ButtonClicked,39
8523285,2022-10-20 04:51,ASTIR,677,/ASTIR/,MenuAccessed,39
8523286,2022-10-20 05:01,WorkLog,1080,/WorkLog/GetLogEntries,DivClicked,NULL
8523287,2022-10-20 05:01,WorkLog,1080,/WorkLog/GetLogEntries,DivClicked,NULL
8523288,2022-10-20 05:01,WorkLog,1080,/WorkLog/WorkLogDailyViewer/ReadEntries,DivClicked,NULL
8523289,2022-10-20 05:01,WorkLog,1080,/WorkLog/GetTaskCategoryDetails,DivClicked,NULL
8523290,2022-10-20 05:02,WorkLog,1080,/WorkLog/GetTaskCategoryDetails,DivClicked,NULL
8523291,2022-10-20 05:19,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8523292,2022-10-20 05:19,LoginPage,993,/POPI,MenuAccessed,NULL
8523293,2022-10-20 05:19,Support,993,/Support/Tickets/,MenuAccessed,NULL
8523294,2022-10-20 05:20,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
