laa_ID,laa_TimeStamp,laa_Area,fk_u_ID,laa_Controller,laa_ActivityType,fk_g_ID
8478942,2022-10-15 00:01,Support,1211,/Support/Tickets,MenuAccessed,NULL
8478943,2022-10-15 00:02,Support,1211,/Support/Feedback/GetContracts,SelectClicked,15
8478944,2022-10-15 00:02,Support,1211,/Support/Feedback/GetSites,SelectClicked,NULL
8478945,2022-10-15 00:03,Support,1211,/Support/Feedback/SubmitFeedback,CustomControls,NULL
8478946,2022-10-15 00:03,Support,1211,/Support/Tickets/GetUninformedUsers,ImageClicked,NULL
8478947,2022-10-15 00:03,Support,1211,/Support/Tickets/GetInformedUsers,ImageClicked,NULL
8478948,2022-10-15 00:03,Support,1211,/Support/Tickets/UpdateInformedUsers,ButtonClicked,NULL
8478949,2022-10-15 00:03,Support,1211,/Support/Tickets/GetAssignedUsers,ImageClicked,NULL
8478950,2022-10-15 00:03,Support,1211,/Support/Tickets/GetUnassignedUsers,ImageClicked,NULL
8478951,2022-10-15 00:03,Support,1211,/Support/Tickets/GetUninformedUsers,ImageClicked,NULL
8478952,2022-10-15 00:03,Support,1211,/Support/Tickets/GetInformedUsers,ImageClicked,NULL
8478953,2022-10-15 00:04,Support,1211,/Support/Tickets/UpdateInformedUsers,ButtonClicked,NULL
8478954,2022-10-15 00:04,Support,1211,/TaskBase/GetAssignedLabels,ImageClicked,NULL
8478955,2022-10-15 00:04,Support,1211,/TaskBase/GetUnassignedLabels,ImageClicked,NULL
8478956,2022-10-15 00:04,Support,1211,/TaskBase/UpdateLabels,ButtonClicked,NULL
8478957,2022-10-15 00:04,Support,1211,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8478958,2022-10-15 00:04,Support,1211,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8478959,2022-10-15 00:04,Support,1211,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8478960,2022-10-15 00:04,Support,1211,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8478961,2022-10-15 00:04,Support,1211,/Support/Tickets/AddComment,ButtonClicked,NULL
8478962,2022-10-15 00:04,Support,1211,/Support/Tickets,MenuAccessed,NULL
8478963,2022-10-15 01:40,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8478964,2022-10-15 01:40,Support,1211,/Support/Tickets,MenuAccessed,NULL
8478965,2022-10-15 04:01,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8478966,2022-10-15 04:01,Support,1211,/Support/Tickets,MenuAccessed,NULL
8478967,2022-10-15 04:02,Support,1211,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8478968,2022-10-15 04:02,Support,1211,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8478969,2022-10-15 04:02,Support,1211,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8478970,2022-10-15 04:02,Support,1211,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8478971,2022-10-15 04:02,Support,1211,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8478972,2022-10-15 04:02,Support,1211,/Support/Tickets/AddComment,ButtonClicked,NULL
8478973,2022-10-15 05:20,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8478974,2022-10-15 05:20,LoginPage,1207,/POPI,MenuAccessed,NULL
8478975,2022-10-15 05:22,Support,1207,/Support/Tickets/,MenuAccessed,NULL
8478976,2022-10-15 05:23,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8478977,2022-10-15 05:23,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8478978,2022-10-15 05:23,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8478979,2022-10-15 05:23,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8478980,2022-10-15 05:26,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8478981,2022-10-15 05:26,Support,1207,/Support/Tickets,MenuAccessed,NULL
8478982,2022-10-15 05:31,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8478983,2022-10-15 05:31,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8478984,2022-10-15 05:31,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8478985,2022-10-15 05:31,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8478986,2022-10-15 05:31,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8478987,2022-10-15 05:31,Support,1207,/Support/Tickets,MenuAccessed,NULL
8478988,2022-10-15 05:32,Support,1207,/Support/Tickets/ReopenTicket,SpanClicked,NULL
8478989,2022-10-15 05:32,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8478990,2022-10-15 05:32,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8478991,2022-10-15 05:32,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8478992,2022-10-15 05:32,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8478993,2022-10-15 05:32,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8478994,2022-10-15 05:32,Support,1207,/Support/Tickets,MenuAccessed,NULL
8478995,2022-10-15 05:33,Support,1207,/Support/Tickets/ReopenTicket,SpanClicked,NULL
8478996,2022-10-15 05:33,Support,1207,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8478997,2022-10-15 05:33,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8478998,2022-10-15 05:33,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8478999,2022-10-15 05:33,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8479000,2022-10-15 05:33,Support,1207,/Support/Tickets/AddComment,ButtonClicked,NULL
8479001,2022-10-15 05:33,Support,1207,/Support/Tickets,MenuAccessed,NULL
8479002,2022-10-15 05:33,Support,1207,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8479003,2022-10-15 05:34,Support,1207,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8479004,2022-10-15 05:34,Support,1207,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8479005,2022-10-15 05:34,Support,1207,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
