ID,TimeStamp,Area,UserId,Controller,ActivityType,GroupID
8423606,2022-10-10 00:11,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8423607,2022-10-10 00:13,ASTIR,993,/ASTIR/,MenuAccessed,NULL
8423608,2022-10-10 00:13,ASTIR,993,/ASTIR/TagDataViewer/,MenuAccessed,NULL
8423609,2022-10-10 00:13,ASTIR,993,/ASTIR/TagDataViewer/SearchTags,SpanClicked,14
8423610,2022-10-10 00:14,ASTIR,993,/ASTIR/TagDataViewer/GetTagDataValues,ButtonClicked,14
8423611,2022-10-10 00:16,ASTIR,993,/ASTIR/TagDataViewer/GetTagDataValues,SpanClicked,14
8423612,2022-10-10 00:17,ASTIR,993,/ASTIR/TagDataViewer/GetTagDataValues,SpanClicked,14
8423613,2022-10-10 01:13,ASTIR,993,/Login/ExtendSession,SessionTracking,14
8423614,2022-10-10 01:15,LoginPage,993,/Login/Authenticate,LoginAttempt,14
8423615,2022-10-10 01:15,LoginPage,993,/POPI,MenuAccessed,14
8423616,2022-10-10 01:15,Support,993,/Support/Tickets/,MenuAccessed,14
8423617,2022-10-10 01:16,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423618,2022-10-10 01:16,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423619,2022-10-10 01:16,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423620,2022-10-10 01:16,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423621,2022-10-10 01:16,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423622,2022-10-10 01:19,LoginPage,993,/Login/Authenticate,LoginAttempt,14
8423623,2022-10-10 01:19,LoginPage,993,/POPI,MenuAccessed,14
8423624,2022-10-10 01:19,Support,993,/Support/Tickets/,MenuAccessed,14
8423625,2022-10-10 01:20,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423626,2022-10-10 01:20,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423627,2022-10-10 01:20,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423628,2022-10-10 01:20,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423629,2022-10-10 01:20,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423630,2022-10-10 01:21,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423631,2022-10-10 01:21,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423632,2022-10-10 01:21,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423633,2022-10-10 01:21,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423634,2022-10-10 01:21,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423635,2022-10-10 01:21,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423636,2022-10-10 01:21,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423637,2022-10-10 01:21,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423638,2022-10-10 01:21,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423639,2022-10-10 01:21,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423640,2022-10-10 01:58,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423641,2022-10-10 01:58,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423642,2022-10-10 01:58,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423643,2022-10-10 01:58,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423644,2022-10-10 01:58,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423645,2022-10-10 02:00,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423646,2022-10-10 02:00,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423647,2022-10-10 02:00,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423648,2022-10-10 02:00,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423649,2022-10-10 02:00,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423650,2022-10-10 02:01,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423651,2022-10-10 02:01,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423652,2022-10-10 02:01,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423653,2022-10-10 02:01,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423654,2022-10-10 02:01,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423655,2022-10-10 02:02,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423656,2022-10-10 02:02,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423657,2022-10-10 02:02,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423658,2022-10-10 02:02,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423659,2022-10-10 02:02,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
8423660,2022-10-10 02:09,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,14
8423661,2022-10-10 02:09,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,14
8423662,2022-10-10 02:09,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,14
8423663,2022-10-10 02:09,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,14
8423664,2022-10-10 02:09,Support,993,/Support/Tickets/AddComment,ButtonClicked,14
