laa_ID,laa_TimeStamp,laa_Area,fk_u_ID,laa_Controller,laa_ActivityType,fk_g_ID
8461701,2022-10-13 01:19,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8461702,2022-10-13 01:19,ASTIR,1228,/ASTIR/,MenuAccessed,NULL
8461703,2022-10-13 01:19,ASTIR,1228,/ASTIR/ExportData/,MenuAccessed,NULL
8461704,2022-10-13 01:20,ASTIR,1228,/ASTIR/ExportData/ReadTagInfo/,SelectClicked,2
8461705,2022-10-13 01:20,ASTIR,1228,/CustomTagListsBase/GetTagLists,SelectClicked,5
8461706,2022-10-13 01:20,ASTIR,1228,/ASTIR/ExportData/GetTagList/,SelectClicked,2
8461707,2022-10-13 01:20,ASTIR,1228,/ASTIR/ExportData/ReadTagInfo/,SpanClicked,2
8461708,2022-10-13 01:20,ASTIR,1228,/ASTIR/ExportData/ReadTagInfo/,ButtonClicked,2
8461709,2022-10-13 01:20,ASTIR,1228,/ASTIR/ExportData/ReadTagInfo/,SelectClicked,2
8461710,2022-10-13 01:48,LoginPage,NULL,/Login/Authenticate,LoginAttempt,NULL
8461711,2022-10-13 01:48,LoginPage,993,/POPI,MenuAccessed,NULL
8461712,2022-10-13 01:48,Support,993,/Support/Tickets/,MenuAccessed,NULL
8461713,2022-10-13 01:49,Support,993,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8461714,2022-10-13 01:49,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8461715,2022-10-13 01:49,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8461716,2022-10-13 01:49,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8461717,2022-10-13 01:49,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8461718,2022-10-13 01:49,Support,993,/Support/Tickets/AddComment,ButtonClicked,NULL
8461719,2022-10-13 01:51,Support,993,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8461720,2022-10-13 01:51,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8461721,2022-10-13 01:51,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8461722,2022-10-13 01:51,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8461723,2022-10-13 01:51,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8461724,2022-10-13 01:51,Support,993,/Support/Tickets/AddComment,ButtonClicked,NULL
8461725,2022-10-13 01:53,Support,993,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8461726,2022-10-13 01:53,Support,993,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8461727,2022-10-13 01:53,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8461728,2022-10-13 01:53,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8461729,2022-10-13 01:53,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8461730,2022-10-13 01:53,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8461731,2022-10-13 01:53,Support,993,/Support/Tickets/AddComment,ButtonClicked,NULL
8461732,2022-10-13 01:54,Support,993,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8461733,2022-10-13 01:54,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8461734,2022-10-13 01:54,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8461735,2022-10-13 01:54,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8461736,2022-10-13 01:54,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8461737,2022-10-13 01:55,Support,993,/Support/Tickets/AddComment,ButtonClicked,NULL
8461738,2022-10-13 01:55,Support,993,/Support/Tickets/ReopenTicket,ButtonClicked,NULL
8461739,2022-10-13 01:55,Support,993,/Support/Tickets/GetInformedUsers,CustomControls,NULL
8461740,2022-10-13 01:55,Support,993,/Support/Tickets/GetAllSupervisor,CustomControls,NULL
8461741,2022-10-13 01:55,Support,993,/Support/Tickets/GetAllApprovedUsers,CustomControls,NULL
8461742,2022-10-13 01:55,Support,993,/Support/Tickets/GetAssignedUsers,CustomControls,NULL
8461743,2022-10-13 01:56,Support,993,/Support/Tickets/AddComment,ButtonClicked,NULL
8461744,2022-10-13 01:57,LoginPage,1228,/Login/Authenticate,LoginAttempt,2
8461745,2022-10-13 01:57,ASTIR,1228,/ASTIR/TagDataViewer,MenuAccessed,2
8461746,2022-10-13 01:57,ASTIR,1228,/ASTIR/,MenuAccessed,2
8461747,2022-10-13 01:57,ASTIR,1228,/ASTIR/ImportData/,MenuAccessed,2
