"filename", "language", "CSV", "JSON with Comments", "Jupyter", "Markdown", "Plain Text (PDF)", "BibTeX style", "BibTeX", "SVG", "XML", "LaTeX", "YAML", "comment", "blank", "total"
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Images\Custom_SVG\redirect.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\MeestersWorkspace.code-workspace", "JSON with Comments", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Scripts\Ch1\Chapter_1.ipynb", "Jupyter", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\Scripts\Ch1\Data\Ronga2018.csv", "CSV", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\appendix\example.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 470, 0, 0, 0, 0, 0, 0, 0, 21, 491
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\bib\library.bib", "BibTeX", 0, 0, 0, 0, 0, 0, 933, 0, 0, 0, 0, 0, 3, 936
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter1\figures\chapter.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 2, 141
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter1\figures\test_figure.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 1409, 0, 0, 0, 0, 0, 0, 0, 4, 1413
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter1\tables\test_table.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 1710, 0, 0, 0, 0, 0, 0, 0, 1, 1711
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter2\figures\chapter.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 1, 140
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter3\figures\chapter.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 1, 145
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter4\figures\chapter.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 1, 153
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter5\figures\chapter.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 1, 146
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ChapterFiles\chapter6\figures\chapter.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 1, 147
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\TitlePageOfficial.pdf", "Plain Text (PDF)", 0, 0, 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 21, 419
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ieeetran\IEEEabrv.bib", "BibTeX", 0, 0, 0, 0, 0, 0, 312, 0, 0, 0, 0, 0, 136, 448
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ieeetran\IEEEexample.bib", "BibTeX", 0, 0, 0, 0, 0, 0, 965, 0, 0, 0, 0, 0, 226, 1191
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ieeetran\IEEEfull.bib", "BibTeX", 0, 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 130, 420
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ieeetran\IEEEtran.bst", "BibTeX style", 0, 0, 0, 0, 0, 2147, 0, 0, 0, 0, 0, 0, 271, 2418
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ieeetran\IEEEtranS.bst", "BibTeX style", 0, 0, 0, 0, 0, 2317, 0, 0, 0, 0, 0, 0, 291, 2608
"c:\Users\Corrie C. Scheepers\Documents\Masters\Masters\Masters\includes\ieeetran\IEEEtran_v1.13.bst", "BibTeX style", 0, 0, 0, 0, 0, 2155, 0, 0, 0, 0, 0, 0, 270, 2425
"Total", "-", 16, 37, 74, 3, 14359, 6619, 2500, 157, 1, 482, 12, 47, 1573, 25880
